ds,pagos_qr,monto,comercios,clientes,inflación,dólar,promoción,feriado
2024-01-01,21391,179499245,7947,16109,18.9,835.0,0,1
2024-01-02,18836,159700397,7975,15553,18.4,777.0,0,0
2024-01-03,19687,169385645,8239,16041,19.0,852.0,0,0
2024-01-04,18903,159221600,7807,16297,19.7,819.0,0,0
2024-01-05,19896,167469642,8189,16079,18.3,838.0,0,0
2024-01-06,22936,200112233,8262,15965,18.3,806.0,1,1
2024-01-07,22769,200614365,8126,15629,19.7,832.0,1,1
2024-01-08,21359,185979155,8258,16308,19.0,807.0,0,0
2024-01-09,18042,155488871,7442,15307,18.0,814.0,0,0
2024-01-10,19916,172307655,8145,16039,18.8,852.0,0,0
2024-01-11,20593,176554895,7806,15960,18.0,821.0,0,0
2024-01-12,17848,151165768,8105,16347,18.0,828.0,0,0
2024-01-13,25667,225310922,8278,16402,18.6,838.0,1,1
2024-01-14,26040,227001784,8355,17031,16.8,833.0,1,1
2024-01-15,22257,190766568,8463,17385,17.0,828.0,0,0
2024-01-16,18429,155585440,8131,16076,17.9,831.0,0,0
2024-01-17,22455,192662392,9210,17673,17.5,862.0,0,0
2024-01-18,22086,193315984,8413,16329,18.6,826.0,1,0
2024-01-19,21143,181008015,8565,16847,17.6,830.0,0,0
2024-01-20,22525,192135354,8725,17058,17.2,843.0,0,1
2024-01-21,24380,207519594,9161,18066,19.5,844.0,0,1
2024-01-22,20060,172325382,8397,16614,18.1,846.0,0,0
2024-01-23,17847,151725318,8194,16029,18.3,838.0,0,0
2024-01-24,18840,157774624,8583,17713,17.1,812.0,0,0
2024-01-25,20165,168508560,8336,16593,17.8,854.0,0,0
2024-01-26,20114,172150833,8419,16870,18.3,813.0,0,0
2024-01-27,22242,188997564,8282,16533,17.3,835.0,0,1
2024-01-28,25224,216764802,8384,16953,18.5,819.0,1,1
2024-01-29,24801,216851570,8481,16753,17.7,830.0,1,0
2024-01-30,21330,181953251,8612,17552,17.9,836.0,0,0
2024-01-31,20480,173917773,8541,17295,17.7,837.0,0,0
2024-02-01,20700,177281619,8347,16955,19.6,838.0,0,0
2024-02-02,21142,183194188,9089,17833,18.1,857.0,0,0
2024-02-03,26162,230786181,8749,17503,17.3,840.0,1,1
2024-02-04,23901,209276029,8154,16493,18.8,830.0,1,1
2024-02-05,24576,214574579,8883,17915,17.1,848.0,1,0
2024-02-06,20809,178043970,8795,17588,18.3,852.0,0,0
2024-02-07,21059,180435514,9439,18230,16.5,816.0,0,0
2024-02-08,22828,194345404,8571,17636,17.0,844.0,0,0
